name,category_address,phone,website,email,linkedin
"Georgia Roofing & Repair, Inc.","4555 Mansell Rd Suite 301, Alpharetta, GA 30022, United States",Floor 1 · Mansell Forest,https://www.garoofingandrepair.com/,,https://www.linkedin.com/company/georgia-roofing-repair-inc/
Georgia Unlimited Roofing & Building,"2158 Elm St NE, Covington, GA 30014, United States",georgiabuildersllc.com,https://georgiabuildersllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,https://www.linkedin.com/company/georgia-unlimited-builders/
Georgia Mountain Roofing,"21 Blair St, Tiger, GA 30576, United States",gmroof.com,https://gmroof.com/,,
Central Georgia Roof Repairs,"6004 Hawkinsville Rd STE A, Macon, GA 31216, United States",centralgaroofrepairs.com,https://www.centralgaroofrepairs.com/,flags@2x.png,
Precision Roofing of Georgia LLC,"455 Legends Pl Unit 207, Atlanta, GA 30339, United States",Floor 1 · The Battery Atlanta,https://m.facebook.com/PrecisionRoofingGA,,
Georgia Roofing,"1155 Mount Vernon Hwy NE, Atlanta, GA 30338, United States",Floor P0 · Perimeter Pointe,https://www.georgia-roofing.com/,,
"North Georgia Roofing & Property Renovations, LLC.","22 Thayer Rdg Dr Suite A, Dawsonville, GA 30534, United States",ngprllc.com,http://www.ngprllc.com/,sales@ngprllc.com,
Colony Roofers,"260 Peachtree St NW Suite 2200, Atlanta, GA 30303, United States",colonyroofers.com,https://www.colonyroofers.com/,help@colonyroofers.com,
Bell Roofing,"2531 Briarcliff Rd NE Suite 109, Atlanta, GA 30329, United States",Floor 1 · Woodlake Office Park,http://www.bellroofingco.com/,bellroofing@bellroofingco.com,
Apex Roofing & Remodeling,apexroofingga.com,+1 478-957-1044,https://www.apexroofingga.com/,dbmahoney423@gmail.com,
Georgia High Quality Construction & Roofing,"5 Hurricane Shoals Road Northeast Suite A, Lawrenceville, GA 30046, United States",georgiahighqualityconstruction.com,http://georgiahighqualityconstruction.com/,eben@eyebytes.com,
Atlanta Roofing Specialists,"1232 Sandtown Rd SW, Marietta, GA 30008, United States",atlantaroofingspecialists.com,https://www.atlantaroofingspecialists.com/,customerservice@myatlantaroof.com,https://www.linkedin.com/company/atlanta-roofing-specialists/
North Georgia Superior Roofing,"3295 River Exchange Dr STE 576, Norcross, GA 30092, United States",ngsroofing.net,http://www.ngsroofing.net/,info@ngsroofing.net,
Platinum Roofing,"931 Corder Rd, Warner Robins, GA 31088, United States",platinumroofingco.com,http://www.platinumroofingco.com/?utm_campaign=gmb,,
"Edge Roofing, LLC","1203 S Chestatee, Dahlonega, GA 30533, United States",roofsbyedge.com,http://www.roofsbyedge.com/,contact@roofsbyedge.com,https://www.linkedin.com/company/edge-roofing
Square It Up Roofing of Georgia,"6350 Lake Oconee Pkwy suite 110-137, Greensboro, GA 30642, United States",+1 678-986-8223,,,
Georgia Trust Roofing,"3698 Jodeco Rd, McDonough, GA 30253, United States",gatrustroofing.com,https://gatrustroofing.com/,matt@pixelspread.com,
Nelson Roofing,"6107 GA-20, Cartersville, GA 30121, United States",nelsonroofing1.com,http://www.nelsonroofing1.com/,,
All Weather Roofing & Construction LLC,allweatherroofingconstruction.com,+1 478-230-0602,https://www.allweatherroofingconstruction.com/,,
Georgia Smart Services Roofing,"160 Stanley Ct # D, Lawrenceville, GA 30046, United States",georgiasmartservices.com,http://www.georgiasmartservices.com/,georgiasmartservices@gmail.com,
Findlay Roofing,"4181 Jvl Industrial Park Dr, Marietta, GA 30066, United States",findlayroofing.com,http://findlayroofing.com/?utm_campaign=GBPFindlayMarietta,sales@roofroof.com,https://www.linkedin.com/company/findlay-roofing/
